time (UTC),lat,lon,alt,bearing,bearing_change_rate,gsp,gsp avg,gsp stdev,ld,flying,circling
14:15:28,45.498683,10.915983,0.000000,2.866172,0.000000,0.000000,0.000000,0.000000,0.000000,True,False
14:15:29,45.498917,10.916000,488.000000,0.000000,0.000000,93.520728,0.000000,0.000000,999.900000,True,False
14:15:30,45.499167,10.916000,489.000000,2.866148,0.000000,100.075434,0.000000,0.000000,999.900000,True,False
14:15:31,45.499400,10.916017,491.000000,0.000000,0.000000,93.520726,0.000000,0.000000,999.900000,True,False
14:15:32,45.499633,10.916017,493.000000,5.339056,0.000000,93.403738,0.000000,0.000000,999.900000,True,False
14:15:33,45.499883,10.916050,494.000000,2.866111,0.000000,100.511505,0.000000,0.000000,999.900000,True,False
14:15:34,45.500117,10.916067,495.000000,5.339010,1.067802,93.520723,0.000000,0.000000,999.900000,True,False
14:15:35,45.500367,10.916100,497.000000,5.717901,0.570351,100.511497,0.000000,0.000000,999.900000,True,False
14:15:36,45.500600,10.916133,499.000000,8.541558,1.708312,93.870795,0.000000,0.000000,999.900000,True,False
14:15:37,45.500833,10.916183,500.000000,5.338943,-0.000023,94.451360,0.000000,0.000000,999.900000,True,False
14:15:38,45.501083,10.916217,501.000000,5.717829,0.570344,100.511486,0.000000,0.000000,999.900000,True,False
14:15:39,45.501317,10.916250,503.000000,5.338897,-0.000023,93.870783,0.000000,0.000000,999.900000,True,False
14:15:40,45.501567,10.916283,504.000000,2.675244,-0.608531,100.511479,0.000000,0.000000,999.900000,True,False
14:15:41,45.501817,10.916300,506.000000,2.866013,-1.135109,100.184622,0.000000,0.000000,999.900000,True,False
14:15:42,45.502050,10.916317,509.000000,2.675221,-0.532744,93.520715,0.000000,0.000000,999.900000,True,False
14:15:43,45.502300,10.916333,511.000000,0.000000,-1.143566,100.184620,0.000000,0.000000,999.900000,True,False
14:15:44,45.502550,10.916333,513.000000,0.000000,-1.067779,100.075434,0.000000,0.000000,999.900000,True,False
14:15:45,45.502800,10.916333,516.000000,-2.675185,-1.070086,100.075434,0.000000,0.000000,999.900000,True,False
14:15:46,45.503050,10.916317,519.000000,-2.675174,-1.108237,100.184617,0.000000,0.000000,999.900000,True,False
14:15:47,45.503300,10.916300,522.000000,-2.865938,-1.108232,100.184616,0.000000,0.000000,999.900000,True,False
14:15:48,45.503533,10.916283,524.000000,-2.675151,-0.535030,93.520709,0.000000,0.000000,999.900000,True,False
14:15:49,45.503783,10.916267,527.000000,-2.865913,-0.573183,100.184615,0.000000,0.000000,999.900000,True,False
14:15:50,45.504017,10.916250,529.000000,-2.675128,0.000012,93.520707,0.000000,0.000000,999.900000,True,False
14:15:51,45.504267,10.916233,532.000000,-2.865888,-0.038143,100.184613,0.000000,0.000000,999.900000,True,False
14:15:52,45.504500,10.916217,535.000000,0.000000,0.573188,93.520705,0.000000,0.000000,999.900000,True,False
14:15:53,45.504750,10.916217,537.000000,0.000000,0.535030,100.075434,0.000000,0.000000,999.900000,True,False
14:15:54,45.504983,10.916217,539.000000,-2.675082,0.038166,93.403738,0.000000,0.000000,999.900000,True,False
14:15:55,45.505233,10.916200,542.000000,2.865839,1.108193,100.184609,0.000000,0.000000,999.900000,True,False
14:15:56,45.505467,10.916217,544.000000,0.000000,0.573178,93.520701,0.000000,0.000000,999.900000,True,False
14:15:57,45.505717,10.916217,547.000000,2.675047,0.535009,100.075434,0.000000,0.000000,999.900000,True,False
